ACID|FIXEDTERM_MNTHS|FIXEDTERM_YEARS|REPRICING_PLAN|RATE_FIXING_METHOD|ENTITY_CRE_FLG|DEL_FLG|LCHG_USER_ID|LCHG_TIME|RCRE_USER_ID|RCRE_TIME|TS_CNT|FLOAT_INT_TBL_CODE|FLOAT_REPRICING_FREQ_MNTHS|FLOAT_REPRICING_FREQ_DAYS|RULE_CODE|BANK_ID
013118176|0|0|F||Y|N|03585|2015-04-27 13:22:19.0|C1777|2015-04-27 12:27:29.0|1||0|0||01
013118370|0|0|V||Y|N|03227|2015-04-27 16:16:18.0|01549|2015-04-27 15:50:05.0|1||0|0||01
013115461|0|0|F||Y|N|05324|2015-04-23 12:03:00.0|C1893|2015-04-23 11:52:21.0|1||0|0||01
013115588|0|0|F||Y|N|05443|2015-04-23 15:11:07.0|C1861|2015-04-23 15:00:37.0|2||0|0||01
013117355|0|0|F||Y|N|05615|2015-04-25 14:17:30.0|C1617|2015-04-25 14:02:05.0|1||0|0||01
013118156|0|0|F||Y|N|03585|2015-04-27 12:04:58.0|C1748|2015-04-27 12:03:37.0|1||0|0||01
013118257|0|0|F||Y|N|05615|2015-04-27 14:39:39.0|C1616|2015-04-27 13:46:02.0|1||0|0||01
013118501|0|0|F||Y|N|05443|2015-04-27 18:08:42.0|C1861|2015-04-27 17:29:52.0|1||0|0||01
013119789|0|0|V||Y|N|04584|2015-04-28 12:55:44.0|C1611|2015-04-28 12:32:12.0|2||0|0||01
013120180|0|0|C||Y|N|00956|2015-04-28 16:33:34.0|C0643|2015-04-28 16:06:12.0|1||0|0||01
013121847|0|0|F||Y|N|05324|2015-04-29 21:30:41.0|C1893|2015-04-29 21:19:36.0|1||0|0||01
013122514|0|0|F||Y|N|05324|2015-04-30 11:12:11.0|C1697|2015-04-30 11:03:15.0|1||0|0||01
013122658|0|0|V||Y|N|03712|2015-04-30 14:55:36.0|C0644|2015-04-30 14:15:50.0|1||0|0||01
013122911|0|0|F||Y|N|05615|2015-04-30 17:48:06.0|C1836|2015-04-30 17:34:17.0|1||0|0||01
013122549|0|0|F||Y|N|05615|2015-04-30 12:45:59.0|C1616|2015-04-30 12:11:49.0|1||0|0||01
013122602|0|0|F||Y|N|04584|2015-04-30 15:51:42.0|C1385|2015-04-30 13:15:56.0|1||0|0||01
013122771|0|0|F||Y|N|00964|2015-04-30 16:18:10.0|C0131|2015-04-30 16:05:56.0|1||0|0||01
013123072|0|0|F||Y|N|00964|2015-04-30 19:36:21.0|C0131|2015-04-30 19:24:00.0|1||0|0||01
013123078|0|0|F||Y|N|00956|2015-04-30 20:01:50.0|C0643|2015-04-30 19:27:01.0|1||0|0||01
013123256|0|0|F||Y|N|00964|2015-04-30 21:33:52.0|C0131|2015-04-30 21:17:19.0|1||0|0||01
013123305|0|0|F||Y|N|05615|2015-04-30 21:43:18.0|C1616|2015-04-30 21:41:11.0|1||0|0||01
013128130|0|0|F||Y|N|04584|2015-05-07 18:14:30.0|C2056|2015-05-07 18:10:54.0|1||0|0||01
013122981|0|0|V||Y|N|03712|2015-04-30 18:51:36.0|C0644|2015-04-30 18:20:16.0|1||0|0||01
013123139|0|0|F||Y|N|03814|2015-04-30 20:08:21.0|C1697|2015-04-30 20:04:28.0|1||0|0||01
